"","incident_type","racing_type","horse_id","race_id","track_id"
"87","RACING INCIDENT","Racing","She's a Lumberjane","03/09/2019","AQU"
"88","RACING INCIDENT","Racing","Classic Czar","03/15/2019","AQU"
"89","RACING INCIDENT","Racing","Ginger and Jingle","03/23/2019","AQU"
"90","RACING INCIDENT","Racing","Gongheifatchoy","03/23/2019","AQU"
"91","RACING INCIDENT","Racing","Miss Imperial","03/23/2019","AQU"
"92","RACING INCIDENT","Racing","Stonesintheroad","03/23/2019","AQU"
"93","RACING INCIDENT","Racing","Sudden Surprise","03/30/2019","AQU"
"94","RACING INCIDENT","Racing","Laur Net","03/31/2019","AQU"
"95","RACING INCIDENT","Racing","Sororitysweetheart","04/05/2019","AQU"
"96","RACING INCIDENT","Unknown","Beachside","04/11/2019","AQU"
"97","RACING INCIDENT","Racing","Milvado","04/17/2019","AQU"
"98","RACING INCIDENT","Racing","FELONY MELANIE (KY)","11/01/2019","AQU"
"99","DRIVER/JOCKEY INJURED","Racing","Crimson Frost","11/02/2019","AQU"
"100","RACING INCIDENT","Racing","Moondance Joy","11/07/2019","AQU"
"101","FALL OF RIDER","Racing","Cirque","11/11/2019","AQU"
"102","RACING INCIDENT","Racing","Brice","11/17/2019","AQU"
"103","RACING INCIDENT","Racing","Jedi Master","11/17/2019","AQU"
"104","FALL OF RIDER","Racing","That is Key","11/20/2019","AQU"
"105","EQUINE DEATH","Racing","Candy Smile","11/20/2019","AQU"
"106","EQUINE DEATH","Racing","CLEAR THE RAMP","11/27/2019","AQU"
"107","RACING INCIDENT","Racing","BELLAMY BIGS","12/06/2019","AQU"
"108","FALL OF RIDER","Racing","First Forever","12/12/2019","AQU"
"109","RACING INCIDENT","Racing","Allured","12/20/2019","AQU"
"110","RACING INCIDENT","Racing","Rucksack","12/20/2019","AQU"
"111","FALL OF RIDER","Racing","puttheglassdown","12/28/2019","AQU"
"112","FALL OF RIDER","Racing","Mucho Sunshine","12/30/2019","AQU"
"113","EQUINE DEATH","Other","GOLDEN JULIA","05/30/2019","SAR"
"114","EQUINE DEATH","Training","Investment Analyst","06/07/2019","SAR"
"115","EQUINE DEATH","Training","Gattino Marrone","07/03/2019","SAR"
"116","RACING INCIDENT","Racing","Impazible Donna","07/11/2019","SAR"
"117","EQUINE DEATH","Racing","Fight Night","07/12/2019","SAR"
"118","EQUINE DEATH","Training","Total Fidelity","07/14/2019","SAR"
"119","EQUINE DEATH","Other","Overlord","07/15/2019","SAR"
"120","RACING INCIDENT","Other","Stolen Pistol","07/17/2019","SAR"
"121","RACING INCIDENT","Other","La Negrita","07/17/2019","SAR"
"122","RACING INCIDENT","Racing","gratto swing","07/19/2019","SAR"
"123","RACING INCIDENT","Racing","Great Going","07/19/2019","SAR"
"124","RACING INJURY","Racing","Kulin Rock","07/19/2019","SAR"
"125","RACING INCIDENT","Racing","Whitman's Poetry","07/21/2019","SAR"
"126","FALL OF RIDER","Racing","Masterkey","07/21/2019","SAR"
"127","RACING INCIDENT","Racing","Show Court (IRE)","07/25/2019","SAR"
"128","EQUINE DEATH","Other","Verravanni","07/25/2019","SAR"
"129","RACING INCIDENT","Racing","It Was Considered","07/26/2019","SAR"
"130","RACING INCIDENT","Racing","Da Berg","07/26/2019","SAR"
"131","EQUINE DEATH","Training","Misspent Youth","07/27/2019","SAR"
"132","RACING INCIDENT","Racing","Stink Man","07/28/2019","SAR"
"133","RACING INCIDENT","Racing","Classy John","07/28/2019","SAR"
"134","RACING INCIDENT","Racing","strike silver","07/28/2019","SAR"
"135","EQUINE DEATH","Training","Umetuka","07/31/2019","SAR"
"136","RACING INCIDENT","Racing","Prince of New York","08/01/2019","SAR"
"137","RACING INCIDENT","Racing","Inclunation","08/01/2019","SAR"
"138","RACING INCIDENT","Racing","Forewarned","08/03/2019","SAR"
"139","RACING INCIDENT","Racing","Divine Miss Grey","08/03/2019","SAR"
"140","EQUINE DEATH","Racing","Sundae On Sunday","08/04/2019","SAR"
"141","FALL OF RIDER","Racing","Wigwam Baby","08/07/2019","SAR"
"142","RACING INCIDENT","Racing","tricky magician","08/08/2019","SAR"
"143","RACING INCIDENT","Racing","Talking","08/11/2019","SAR"
"144","FALL OF RIDER","Racing","Whitman's Poetry","08/14/2019","SAR"
"145","RACING INCIDENT","Racing","Bumperdoo","08/22/2019","SAR"
"146","RACING INCIDENT","Racing","Behind the Couch","08/23/2019","SAR"
"147","RACING INCIDENT","Racing","Golden Award","08/24/2019","SAR"
"148","RACING INCIDENT","Racing","Aymara","08/24/2019","SAR"
"149","EQUINE DEATH","Other","Divine Miss Grey","08/26/2019","SAR"
"150","EQUINE DEATH","Racing","Go Big Or Go Home","08/28/2019","SAR"
"151","RACING INCIDENT","Racing","Don't Tell Flora","08/29/2019","SAR"
"152","RACING INCIDENT","Racing","Majestic Affair","08/29/2019","SAR"
"153","EQUINE DEATH","Training","sister beauty","08/31/2019","SAR"
"154","EQUINE DEATH","Racing","Borough Boy","09/02/2019","SAR"
"155","EQUINE DEATH","Training","So Surprising","09/07/2019","SAR"
"156","EQUINE DEATH","Training","Noble Spirit","09/16/2019","SAR"
